id,name,yearpublished,rank,bayesaverage,average,usersrated,weight,minplayers,maxplayers,minplaytime,maxplaytime,age,category,mechanic
224517,Brass: Birmingham,2018,1,8.41611,8.59849,45505,3.8809,2,4,60,120,14,"['Age of Reason', 'Economic', 'Industry / Manufacturing', 'Post-Napoleonic', 'Trains', 'Transportation']","['Hand Management', 'Income', 'Loans', 'Market', 'Network and Route Building', 'Tags', 'Tech Trees / Tech Tracks', 'Turn Order: Stat-Based', 'Variable Set-up']"
161936,Pandemic Legacy: Season 1,2015,2,8.38079,8.52838,53369,2.8315,2,4,60,60,13,"['Environmental', 'Medical']","['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Point to Point Movement', 'Scenario / Mission / Campaign Game', 'Set Collection', 'Tags', 'Trading', 'Variable Player Powers']"
174430,Gloomhaven,2017,3,8.35418,8.5904,62022,3.9112,1,4,60,120,14,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Modular Board', 'Multi-Use Cards', 'Narrative Choice / Paragraph', 'Once-Per-Game Abilities', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Tags', 'Variable Player Powers']"
342942,Ark Nova,2021,4,8.33397,8.535,43007,3.7593,1,4,90,150,14,"['Animals', 'Economic', 'Environmental']","['Action Queue', 'End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Increase Value of Unchosen Resources', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game', 'Tags', 'Tile Placement', 'Variable Player Powers', 'Variable Set-up']"
233078,Twilight Imperium: Fourth Edition,2017,5,8.24169,8.60196,23644,4.3152,3,6,240,480,14,"['Civilization', 'Economic', 'Exploration', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration', 'Wargame']","['Action Drafting', 'Area-Impulse', 'Dice Rolling', 'Follow', 'Grid Movement', 'Hexagon Grid', 'Increase Value of Unchosen Resources', 'King of the Hill', 'Modular Board', 'Race', 'Tech Trees / Tech Tracks', 'Trading', 'Variable Phase Order', 'Variable Player Powers', 'Variable Set-up', 'Voting']"
316554,Dune: Imperium,2020,6,8.22925,8.43498,45045,3.046,1,4,60,120,14,"['Movies / TV / Radio theme', 'Novel-based', 'Political', 'Science Fiction']","['Card Play Conflict Resolution', 'Deck, Bag, and Pool Building', 'Delayed Purchase', 'Force Commitment', 'Increase Value of Unchosen Resources', 'Multi-Use Cards', 'Open Drafting', 'Race', 'Solo / Solitaire Game', 'Tags', 'Take That', 'Turn Order: Progressive', 'Variable Player Powers', 'Worker Placement']"
167791,Terraforming Mars,2016,7,8.21412,8.3609,98615,3.2603,1,5,120,120,12,"['Economic', 'Environmental', 'Industry / Manufacturing', 'Science Fiction', 'Space Exploration', 'Territory Building']","['Closed Drafting', 'Contracts', 'Enclosure', 'End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Set Collection', 'Solo / Solitaire Game', 'Tags', 'Take That', 'Tech Trees / Tech Tracks', 'Tile Placement', 'Turn Order: Progressive', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']"
115746,War of the Ring: Second Edition,2011,8,8.1845,8.54099,21235,4.2145,2,4,150,180,13,"['Fantasy', 'Fighting', 'Miniatures', 'Novel-based', 'Territory Building', 'Wargame']","['Action Drafting', 'Area Majority / Influence', 'Area Movement', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Dice Rolling', 'Events', 'Hand Management', 'Movement Points', 'Team-Based Game', 'Variable Set-up']"
187645,Star Wars: Rebellion,2016,9,8.17097,8.41921,32331,3.742,2,4,180,240,14,"['Civil War', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Space Exploration', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Area-Impulse', 'Card Play Conflict Resolution', 'Contracts', 'Delayed Purchase', 'Dice Rolling', 'Die Icon Resolution', 'Events', 'Hand Management', 'Hidden Movement', 'Income', 'Once-Per-Game Abilities', 'Tags', 'Take That', 'Team-Based Game', 'Variable Player Powers', 'Variable Set-up', 'Worker Placement, Different Worker Types']"
291457,Gloomhaven: Jaws of the Lion,2020,10,8.16784,8.44313,34064,3.6381,1,4,30,120,14,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers']"
162886,Spirit Island,2017,11,8.14599,8.34625,51139,4.0668,1,4,90,120,13,"['Environmental', 'Fantasy', 'Fighting', 'Mythology', 'Territory Building']","['Action Retrieval', 'Area Majority / Influence', 'Automatic Resource Growth', 'Campaign / Battle Card Driven', 'Cooperative Game', 'Hand Management', 'Modular Board', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Tags', 'Variable Player Powers', 'Variable Set-up']"
220308,Gaia Project,2017,12,8.11571,8.37852,27027,4.3938,1,4,60,150,12,"['Civilization', 'Economic', 'Miniatures', 'Science Fiction', 'Space Exploration', 'Territory Building']","['End Game Bonuses', 'Hexagon Grid', 'Income', 'Modular Board', 'Network and Route Building', 'Solo / Solitaire Game', 'Tags', 'Tech Trees / Tech Tracks', 'Turn Order: Pass Order', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']"
12333,Twilight Struggle,2005,13,8.06875,8.24713,48693,3.6068,1,2,120,180,13,"['Modern Warfare', 'Political', 'Wargame']","['Action/Event', 'Advantage Token', 'Area Majority / Influence', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Events', 'Hand Management', 'Simulation', 'Simultaneous Action Selection', 'Sudden Death Ending', 'Tug of War', 'Variable Set-up']"
182028,Through the Ages: A New Story of Civilization,2015,14,8.06095,8.29127,31545,4.4378,2,4,120,120,14,"['Card Game', 'Civilization', 'Economic']","['Action Points', 'Auction: Dutch', 'Auction/Bidding', 'Events', 'Income', 'Open Drafting', 'Tags', 'Take That']"
193738,Great Western Trail,2016,15,8.02826,8.19575,40752,3.7013,2,4,75,150,12,"['American West', 'Animals', 'Economic']","['Deck, Bag, and Pool Building', 'Hand Management', 'Ownership', 'Set Collection', 'Track Movement', 'Variable Set-up']"
84876,The Castles of Burgundy,2011,16,8.0156,8.14045,62054,2.9802,2,4,30,90,12,"['Dice', 'Medieval', 'Territory Building']","['Dice Rolling', 'End Game Bonuses', 'Grid Coverage', 'Hexagon Grid', 'Open Drafting', 'Pattern Building', 'Tile Placement', 'Turn Order: Stat-Based', 'Variable Set-up']"
169786,Scythe,2016,17,7.99347,8.14547,83158,3.446,1,5,90,115,14,"['Economic', 'Fighting', 'Science Fiction', 'Territory Building']","['Area Majority / Influence', 'Card Play Conflict Resolution', 'Contracts', 'End Game Bonuses', 'Force Commitment', 'Grid Movement', 'Hexagon Grid', 'King of the Hill', 'Movement Points', 'Narrative Choice / Paragraph', 'Solo / Solitaire Game', 'Take That', 'Tech Trees / Tech Tracks', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource', 'Zone of Control']"
246900,Eclipse: Second Dawn for the Galaxy,2020,18,7.97746,8.46116,13454,3.6546,2,6,60,200,14,"['Civilization', 'Exploration', 'Science Fiction', 'Space Exploration', 'Wargame']","['Alliances', 'Area Majority / Influence', 'Area-Impulse', 'Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Income', 'Modular Board', 'Passed Action Token', 'Tech Trees / Tech Tracks', 'Variable Player Powers']"
173346,7 Wonders Duel,2015,19,7.97252,8.09637,94179,2.2291,2,2,30,30,10,"['Ancient', 'Card Game', 'City Building', 'Civilization', 'Economic']","['End Game Bonuses', 'Income', 'Layering', 'Market', 'Modular Board', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Open Drafting', 'Set Collection', 'Sudden Death Ending', 'Tags', 'Tech Trees / Tech Tracks', 'Tug of War', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']"
28720,Brass: Lancashire,2007,20,7.96246,8.19418,24854,3.856,2,4,60,120,14,"['Economic', 'Industry / Manufacturing', 'Post-Napoleonic', 'Transportation']","['Hand Management', 'Income', 'Loans', 'Market', 'Network and Route Building', 'Tech Trees / Tech Tracks', 'Turn Order: Stat-Based']"
167355,Nemesis,2018,21,7.9568,8.27362,30302,3.463,1,5,90,180,12,"['Adventure', 'Horror', 'Miniatures', 'Science Fiction']","['Campaign / Battle Card Driven', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Hidden Roles', 'Interrupts', 'Modular Board', 'Player Elimination', 'Semi-Cooperative Game', 'Solo / Solitaire Game', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers']"
266507,Clank! Legacy: Acquisitions Incorporated,2019,22,7.94621,8.53757,9359,2.7254,2,4,90,120,13,"['Adventure', 'Fantasy', 'Miniatures']","['Deck, Bag, and Pool Building', 'Delayed Purchase', 'End Game Bonuses', 'Events', 'Legacy Game', 'Map Addition', 'Movement Points', 'Narrative Choice / Paragraph', 'Once-Per-Game Abilities', 'Open Drafting', 'Pick-up and Deliver', 'Player Elimination', 'Point to Point Movement', 'Push Your Luck', 'Scenario / Mission / Campaign Game', 'Set Collection', 'Variable Player Powers', 'Variable Set-up']"
177736,A Feast for Odin,2016,23,7.94415,8.1731,28335,3.8668,1,4,30,120,12,"['Economic', 'Farming', 'Industry / Manufacturing', 'Medieval', 'Puzzle']","['Automatic Resource Growth', 'Dice Rolling', 'Grid Coverage', 'Income', 'Push Your Luck', 'Solo / Solitaire Game', 'Tile Placement', 'Turn Order: Pass Order', 'Worker Placement']"
124361,Concordia,2013,24,7.94237,8.09478,40343,2.9919,2,5,100,100,13,"['Ancient', 'Economic', 'Nautical']","['Action Retrieval', 'Advantage Token', 'Auction: Dutch', 'Deck, Bag, and Pool Building', 'End Game Bonuses', 'Hand Management', 'Hidden Victory Points', 'Investment', 'Movement Points', 'Open Drafting', 'Point to Point Movement', 'Set Collection', 'Variable Set-up']"
266192,Wingspan,2019,25,7.90133,8.0499,92615,2.4651,1,5,40,70,10,"['Animals', 'Card Game', 'Educational']","['Action Queue', 'Dice Rolling', 'End Game Bonuses', 'Hand Management', 'Once-Per-Game Abilities', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game', 'Turn Order: Progressive']"
205637,Arkham Horror: The Card Game,2016,26,7.90128,8.13131,42949,3.5398,1,2,60,120,14,"['Adventure', 'Card Game', 'Collectible Components', 'Exploration', 'Horror', 'Novel-based']","['Action Points', 'Area Movement', 'Communication Limits', 'Cooperative Game', 'Deck Construction', 'Events', 'Hand Management', 'Map Deformation', 'Modular Board', 'Push Your Luck', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Variable Player Powers']"
341169,Great Western Trail: Second Edition,2021,27,7.89794,8.34215,12468,3.7268,1,4,75,150,12,"['American West', 'Animals', 'Economic']","['Deck, Bag, and Pool Building', 'Hand Management', 'Ownership', 'Set Collection', 'Solo / Solitaire Game', 'Tags', 'Track Movement', 'Variable Set-up']"
312484,Lost Ruins of Arnak,2020,28,7.89785,8.07646,43698,2.9145,1,4,30,120,12,"['Adventure', 'Ancient', 'Exploration', 'Fantasy', 'Travel']","['Contracts', 'Deck, Bag, and Pool Building', 'Market', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Resource to Move', 'Solo / Solitaire Game', 'Turn Order: Progressive', 'Worker Placement']"
120677,Terra Mystica,2012,29,7.89746,8.06234,47915,3.9727,2,5,60,150,12,"['Civilization', 'Economic', 'Fantasy', 'Territory Building']","['Area Majority / Influence', 'Chaining', 'End Game Bonuses', 'Hexagon Grid', 'Income', 'Increase Value of Unchosen Resources', 'Network and Route Building', 'Tech Trees / Tech Tracks', 'Turn Order: Pass Order', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource', 'Worker Placement, Different Worker Types']"
295770,Frosthaven,2022,30,7.88973,8.84956,6864,4.3546,1,4,90,180,14,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Campaign / Battle Card Driven', 'Communication Limits', 'Cooperative Game', 'Deck Construction', 'Deck, Bag, and Pool Building', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Modular Board', 'Multi-Use Cards', 'Narrative Choice / Paragraph', 'Once-Per-Game Abilities', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers']"
237182,Root,2018,31,7.88597,8.07522,50946,3.8023,2,4,60,90,10,"['Animals', 'Fantasy', 'Negotiation', 'Territory Building', 'Wargame']","['Action Queue', 'Action Retrieval', 'Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Hand Management', 'Negotiation', 'Point to Point Movement', 'Race', 'Sudden Death Ending', 'Take That', 'Variable Player Powers', 'Variable Set-up']"
164928,Orléans,2014,32,7.87362,8.06197,31261,3.0283,2,5,90,90,12,"['Medieval', 'Religious', 'Travel']","['Contracts', 'Deck, Bag, and Pool Building', 'End Game Bonuses', 'Events', 'Point to Point Movement', 'Simultaneous Action Selection', 'Tech Trees / Tech Tracks', 'Turn Order: Progressive', 'Variable Set-up', 'Worker Placement, Different Worker Types']"
192135,Too Many Bones,2017,33,7.85924,8.34321,13145,3.8528,1,4,60,120,12,"['Adventure', 'Dice', 'Fantasy', 'Fighting']","['Cooperative Game', 'Dice Rolling', 'Die Icon Resolution', 'Grid Movement', 'Narrative Choice / Paragraph', 'Resource to Move', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Square Grid', 'Stat Check Resolution', 'Tech Trees / Tech Tracks', 'Turn Order: Role Order', 'Variable Player Powers']"
96848,Mage Knight Board Game,2011,34,7.85463,8.08556,33243,4.3627,1,4,60,240,14,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Card Play Conflict Resolution', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Modular Board', 'Multi-Use Cards', 'Open Drafting', 'Role Playing', 'Solo / Solitaire Game', 'Turn Order: Claim Action', 'Variable Player Powers']"
199792,Everdell,2018,35,7.84805,8.02691,54264,2.8271,1,4,40,80,10,"['Animals', 'Card Game', 'City Building', 'Fantasy']","['Contracts', 'End Game Bonuses', 'Hand Management', 'Income', 'Open Drafting', 'Ownership', 'Set Collection', 'Solo / Solitaire Game', 'Variable Set-up', 'Worker Placement']"
324856,The Crew: Mission Deep Sea,2021,36,7.84595,8.15597,17279,2.0432,2,5,20,20,10,"['Adventure', 'Card Game', 'Deduction', 'Mythology', 'Nautical']","['Communication Limits', 'Cooperative Game', 'Hand Management', 'Scenario / Mission / Campaign Game', 'Trick-taking']"
251247,Barrage,2019,37,7.84593,8.16409,17586,4.1181,1,4,60,120,14,"['Economic', 'Environmental', 'Industry / Manufacturing']","['Action Retrieval', 'Contracts', 'End Game Bonuses', 'Income', 'Network and Route Building', 'Ownership', 'Solo / Solitaire Game', 'Turn Order: Stat-Based', 'Variable Player Powers', 'Variable Set-up', 'Worker Placement']"
183394,Viticulture Essential Edition,2015,38,7.83832,7.98871,48523,2.8912,1,6,45,90,13,"['Economic', 'Farming']","['Contracts', 'Hand Management', 'Solo / Solitaire Game', 'Turn Order: Auction', 'Victory Points as a Resource', 'Worker Placement', 'Worker Placement, Different Worker Types']"
175914,Food Chain Magnate,2015,39,7.80125,8.06142,20347,4.1992,2,5,120,240,14,"['Economic', 'Industry / Manufacturing']","['Delayed Purchase', 'Income', 'Market', 'Modular Board', 'Open Drafting', 'Simultaneous Action Selection', 'Victory Points as a Resource']"
285774,Marvel Champions: The Card Game,2019,40,7.79886,8.12442,23468,2.9283,1,4,45,90,14,"['Card Game', 'Collectible Components', 'Comic Book / Strip', 'Fighting']","['Card Play Conflict Resolution', 'Cooperative Game', 'Deck Construction', 'Hand Management', 'Interrupts', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Turn Order: Progressive', 'Variable Player Powers', 'Variable Set-up']"
366013,Heat: Pedal to the Metal,2022,41,7.79731,8.07682,22091,2.1903,1,6,30,60,10,"['Racing', 'Sports']","['Catch the Leader', 'Deck, Bag, and Pool Building', 'Hand Management', 'Programmed Movement', 'Push Your Luck', 'Race', 'Simulation', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Track Movement', 'Variable Set-up']"
256960,Pax Pamir: Second Edition,2019,42,7.79421,8.19577,13924,3.8569,1,5,45,120,13,"['Economic', 'Educational', 'Negotiation', 'Political', 'Post-Napoleonic', 'Spies/Secret Agents']","['Action Points', 'Area Majority / Influence', 'Area Movement', 'Auction: Dutch', 'Hand Management', 'Increase Value of Unchosen Resources', 'Negotiation', 'Open Drafting', 'Score-and-Reset Game', 'Simulation', 'Solo / Solitaire Game', 'Tags']"
247763,Underwater Cities,2018,43,7.7855,8.06359,19500,3.5946,1,4,80,150,12,"['Card Game', 'City Building', 'Civilization', 'Industry / Manufacturing', 'Nautical', 'Science Fiction']","['End Game Bonuses', 'Hand Management', 'Income', 'Network and Route Building', 'Solo / Solitaire Game', 'Turn Order: Claim Action', 'Turn Order: Stat-Based', 'Worker Placement']"
3076,Puerto Rico,2002,44,7.77863,7.91886,70875,3.2692,3,5,90,150,12,"['City Building', 'Economic', 'Farming']","['Action Drafting', 'End Game Bonuses', 'Follow', 'Hidden Victory Points', 'Increase Value of Unchosen Resources', 'Turn Order: Progressive', 'Variable Phase Order']"
295947,Cascadia,2021,45,7.77277,7.95492,38083,1.8476,1,4,30,45,10,"['Animals', 'Environmental', 'Puzzle']","['End Game Bonuses', 'Hexagon Grid', 'Open Drafting', 'Pattern Building', 'Solo / Solitaire Game', 'Tile Placement', 'Variable Set-up', 'Victory Points as a Resource']"
102794,Caverna: The Cave Farmers,2013,46,7.76402,7.94695,34730,3.7801,1,7,30,210,12,"['Animals', 'Economic', 'Fantasy', 'Farming']","['Automatic Resource Growth', 'Increase Value of Unchosen Resources', 'Solo / Solitaire Game', 'Tile Placement', 'Turn Order: Claim Action', 'Worker Placement']"
521,Crokinole,1876,47,7.76337,8.03499,17909,1.2313,2,4,30,30,8,['Action / Dexterity'],"['Flicking', 'Team-Based Game']"
